,Extraction_ID,Fwd_Index,Rev_Index,Sequencing_ID_ITS,fungicide_treatment,shredder,replicate_num,sample_date,cycle,Conidia,Tetrachaetum elegans,Tetracladium marchalianum,Lemonniera aquatica,Hymenoscyphus tetracladius,Alatospora acuminata,Flagellospora curvula,Lemonniera spp.,Alatospora spp.,Tetracladium spp.,Filosporella spp.,Tetracladium apiense,Flagellospora spp.,Mycofalcella calcarata,Anguillospora crassa,Gyoerffyella spp.,Tricladium splendens,Filosporella annelidica,Anguillospora longissima,Triscelophorus monosporus
NG-18809-DFG-ITS1-13_lib318461_6317_1,19,N501,RPI14,DFG_ITS1_13,control,w/o,3,17.02.15,2,Y,0.379713389,0.147104506,0.030831877,0.189471202,0.246108589,0.002200673,8.98E-05,0,7.86E-05,0.004401346,0,0,0,0,0,0,0,0,0
NG-18809-DFG-ITS1-14_lib318462_6317_1,20,N501,RPI15,DFG_ITS1_14,control,w/o,1,03.02.15,1,Y,0.415865839,0.015624844,0.052869534,0.032524373,0.354252766,0.057301055,0,0.011990002,0.00025892,0.008016571,0,0.000726969,0.006721969,0.006413257,0.036428095,0.000189211,0.000527799,0.000288796,0
NG-18809-DFG-ITS1-15_lib318463_6317_1,21,N501,RPI16,DFG_ITS1_15,TU-1,w/o,5,17.02.15,2,Y,0.133991763,0.045482772,0.421856022,0.256358273,0.134338785,0.007972384,0,0,0,0,0,0,0,0,0,0,0,0,0
NG-18809-DFG-ITS1-16_lib318464_6317_1,22,N501,RPI17,DFG_ITS1_16,TU-1,w/o,3,17.02.15,2,Y,0.115045593,0.448769913,0.038073393,0.052613744,0.345406126,9.12E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
NG-18809-DFG-ITS1-21_lib318469_6317_1,27,N501,RPI22,DFG_ITS1_21,TU-1,w/o,2,17.02.15,2,Y,0.493462845,0.004601318,0.032906948,0.074346171,0.380532184,0.014150535,0,0,0,0,0,0,0,0,0,0,0,0,0
NG-18809-DFG-ITS1-24_lib318472_6317_1,30,N501,RPI25,DFG_ITS1_24,control,w/o,5,17.02.15,2,Y,0.17452701,0.08586472,0.105454737,0.153241602,0.477447436,0.000965285,0,0.000291341,0.001232054,0.000975815,0,0,0,0,0,0,0,0,0
NG-18809-DFG-ITS1-30_lib318478_6317_1,36,N501,RPI31,DFG_ITS1_30,control,w/o,2,03.03.15,3,Y,0.1725035,0.385805734,0.038178883,0.347911151,0.018286979,0.03714256,0,0,0,0.000171192,0,0,0,0,0,0,0,0,0
NG-18809-DFG-ITS1-34_lib318482_6317_1,40,N502,RPI3,DFG_ITS1_34,control,w/o,3,03.03.15,3,Y,0.253287983,0.008257942,0.210964031,0.245227293,0.004803361,9.60E-05,0.277363429,0,0,0,0,0,0,0,0,0,0,0,0
NG-18809-DFG-ITS1-36_lib318484_6317_1,42,N502,RPI5,DFG_ITS1_36,control,w/o,2,03.02.15,1,Y,0.240136211,0.003445689,0.02380815,0.044268729,0.593870484,0.072301743,6.35E-05,0.014267575,0.002770403,0.001569895,0,0.000998499,0.000767632,0.001362115,0,0.000369387,0,0,0
NG-18809-DFG-ITS1-4_lib318452_6317_1,9,N501,RPI5,DFG_ITS1_4,control,w/o,7,03.03.15,3,Y,0.063307959,0.099306841,0.049926876,0.348321389,0.036699738,0.377704676,0.02473252,0,0,0,0,0,0,0,0,0,0,0,0
NG-18809-DFG-ITS1-45_lib318493_6317_1,51,N502,RPI14,DFG_ITS1_45,control,w/o,7,03.02.15,1,Y,0.089147504,0.006421761,0.249915872,0.01174986,0.345260796,0.163544588,0,0.033959619,0.005173864,0.013530566,0.053715648,0,0,0.017498598,0,0.003337072,0.006660123,0,8.41E-05
NG-18809-DFG-ITS1-47_lib318495_6317_1,53,N502,RPI16,DFG_ITS1_47,control,w/o,7,17.02.15,2,Y,0.166315478,0.004207536,0.045576028,0.255764324,0.368593606,0.026564698,0.13297833,0,0,0,0,0,0,0,0,0,0,0,0
NG-18809-DFG-ITS1-5_lib318453_6317_1,10,N501,RPI6,DFG_ITS1_5,control,w/o,5,03.03.15,3,Y,0.166062074,0.019652824,0.230334798,0.470684152,0.061041263,0.001386326,0.050838562,0,0,0,0,0,0,0,0,0,0,0,0
