Number.replicate,treatment,cycle,region,Bact_density,Sporulation,Species,Temp_lab,weight start,weight end,Temp_field
1,control,1,Germany,2403902.276,NA,NA,17.3742802,4008,2921.74,7.57
2,control,1,Germany,NA,NA,NA,16.77693256,4016,2826.48,7.57
3,control,1,Germany,2011264.905,NA,NA,17.27062011,4092,2950.75,7.57
4,control,1,Germany,NA,NA,NA,16.52597541,4000,3051.47,7.57
5,control,1,Germany,1986382.407,NA,NA,18.90988271,3994,2950.7,7.57
6,control,1,Germany,NA,NA,NA,18.19199205,4035,2947.53,7.57
7,control,1,Germany,1260994.352,NA,NA,17.422066,4010,3176.25,7.57
1,TU-1,1,Germany,2572175.436,NA,NA,17.77888975,3986,3515.9,7.57
2,TU-1,1,Germany,NA,NA,NA,17.05668155,3985,3354.35,7.57
3,TU-1,1,Germany,1502438.923,NA,NA,16.38179803,3986,2894.51,7.57
4,TU-1,1,Germany,NA,NA,NA,18.56568404,3970,3454.98,7.57
5,TU-1,1,Germany,1648992.614,NA,NA,17.80953269,4042,3606.46,7.57
6,TU-1,1,Germany,NA,NA,NA,17.0148787,4014,3871.94,7.57
7,TU-1,1,Germany,1606818.89,NA,NA,18.33233091,4036,3941.07,7.57
1,control,2,Germany,965778.283,1323.385855,7,17.3742802,4010,2809.44,7.57
2,control,2,Germany,NA,3736.98706,10,16.77693256,3979,2784.84,7.57
3,control,2,Germany,1686738.097,3047.878335,7,17.27062011,3982,3003.8,7.57
4,control,2,Germany,NA,NA,NA,16.52597541,3999,2909.22,7.57
5,control,2,Germany,1130255.807,1574.658855,10,18.90988271,3960,2466.64,7.57
6,control,2,Germany,NA,NA,NA,18.19199205,3979,1379.02,7.57
7,control,2,Germany,805752.4297,2258.152467,9,17.422066,3988,2515.29,7.57
1,TU-1,2,Germany,1754426.925,1517.59404,6,17.77888975,3960,3019.13,7.57
2,TU-1,2,Germany,NA,841.0543746,6,17.05668155,3968,3073.51,7.57
3,TU-1,2,Germany,1286298.586,1115.773004,7,16.38179803,4028,2875.1,7.57
4,TU-1,2,Germany,NA,NA,NA,18.56568404,4003,2580.28,7.57
5,TU-1,2,Germany,1227255.373,2164.662955,8,17.80953269,4018,2632.49,7.57
6,TU-1,2,Germany,NA,NA,NA,17.0148787,3995,2842.94,7.57
7,TU-1,2,Germany,1184144.455,2427.427078,7,18.33233091,4005,2840.71,7.57
1,control,3,Germany,2656944.621,728.3843699,13,17.3742802,3975,2624.315,7.57
2,control,3,Germany,NA,3383.680562,8,16.77693256,4001,2595.77,7.57
3,control,3,Germany,1005632.452,1875.392797,6,17.27062011,4000,2703.215,7.57
4,control,3,Germany,NA,NA,NA,16.52597541,3968,2825.185,7.57
5,control,3,Germany,3255811.504,1771.331031,11,18.90988271,3987,2386.61,7.57
6,control,3,Germany,NA,NA,NA,18.19199205,3983,2221.475,7.57
7,control,3,Germany,3659273.465,6244.32523,9,17.422066,3955,2490.585,7.57
1,TU-1,3,Germany,1400167.642,2462.392586,6,17.77888975,3992,2206.495,7.57
2,TU-1,3,Germany,NA,1895.405897,9,17.05668155,3999,2529.365,7.57
3,TU-1,3,Germany,1454993.483,2546.382416,6,16.38179803,3988,2842.175,7.57
4,TU-1,3,Germany,NA,NA,NA,18.56568404,3987,2008.405,7.57
5,TU-1,3,Germany,2475597.607,9309.805326,9,17.80953269,3991,2782.65,7.57
6,TU-1,3,Germany,NA,NA,NA,17.0148787,4003,2153.745,7.57
7,TU-1,3,Germany,2893117.476,938.2053966,9,18.33233091,3954,2307.64,7.57
