"","Extraction_ID","Fwd_Index","Rev_Index","Sequencing_ID_ITS","fungicide_treatment","shredder","replicate_num","sample_date","cycle","Conidia","Sample_combo"
"NG-18809-DFG-ITS1-13_lib318461_6317_1","19","N501","RPI14","DFG_ITS1_13","control","w/o","3","17.02.15","2","Y","control_without_cycle2"
"NG-18809-DFG-ITS1-14_lib318462_6317_1","20","N501","RPI15","DFG_ITS1_14","control","w/o","1","03.02.15","1","Y","control_without_cycle1"
"NG-18809-DFG-ITS1-15_lib318463_6317_1","21","N501","RPI16","DFG_ITS1_15","TU-1","w/o","5","17.02.15","2","Y","TU-1_without_cycle2"
"NG-18809-DFG-ITS1-16_lib318464_6317_1","22","N501","RPI17","DFG_ITS1_16","TU-1","w/o","3","17.02.15","2","Y","TU-1_without_cycle2"
"NG-18809-DFG-ITS1-21_lib318469_6317_1","27","N501","RPI22","DFG_ITS1_21","TU-1","w/o","2","17.02.15","2","Y","TU-1_without_cycle2"
"NG-18809-DFG-ITS1-24_lib318472_6317_1","30","N501","RPI25","DFG_ITS1_24","control","w/o","5","17.02.15","2","Y","control_without_cycle2"
"NG-18809-DFG-ITS1-30_lib318478_6317_1","36","N501","RPI31","DFG_ITS1_30","control","w/o","2","03.03.15","3","Y","control_without_cycle3"
"NG-18809-DFG-ITS1-34_lib318482_6317_1","40","N502","RPI3","DFG_ITS1_34","control","w/o","3","03.03.15","3","Y","control_without_cycle3"
"NG-18809-DFG-ITS1-36_lib318484_6317_1","42","N502","RPI5","DFG_ITS1_36","control","w/o","2","03.02.15","1","Y","control_without_cycle1"
"NG-18809-DFG-ITS1-4_lib318452_6317_1","9","N501","RPI5","DFG_ITS1_4","control","w/o","7","03.03.15","3","Y","control_without_cycle3"
"NG-18809-DFG-ITS1-45_lib318493_6317_1","51","N502","RPI14","DFG_ITS1_45","control","w/o","7","03.02.15","1","Y","control_without_cycle1"
"NG-18809-DFG-ITS1-47_lib318495_6317_1","53","N502","RPI16","DFG_ITS1_47","control","w/o","7","17.02.15","2","Y","control_without_cycle2"
"NG-18809-DFG-ITS1-5_lib318453_6317_1","10","N501","RPI6","DFG_ITS1_5","control","w/o","5","03.03.15","3","Y","control_without_cycle3"
"NG-18809-DFG-ITS1-6_lib318454_6317_1","11","N501","RPI7","DFG_ITS1_6","control","w/o","1","03.03.15","3","Y","control_without_cycle3"
"NG-18809-DFG-ITS1-8_lib318456_6317_1","13","N501","RPI9","DFG_ITS1_8","TU-1","w/o","3","03.03.15","3","Y","TU-1_without_cycle3"
"NG-18810-DFG-ITS2-0_lib317646_6313_1","54","N502","RPI17","DFG_ITS2_0","control","w/o","2","17.02.15","2","Y","control_without_cycle2"
"NG-18810-DFG-ITS2-15_lib318510_6313_1","69","N502","RPI32","DFG_ITS2_15","TU-1","w/o","1","03.02.15","1","Y","TU-1_without_cycle1"
"NG-18810-DFG-ITS2-18_lib318513_6313_1","72","N503","RPI3","DFG_ITS2_18","TU-1","w/o","3","03.02.15","1","Y","TU-1_without_cycle1"
"NG-18810-DFG-ITS2-20_lib318515_6313_1","74","N503","RPI5","DFG_ITS2_20","control","w/o","5","03.02.15","1","Y","control_without_cycle1"
"NG-18810-DFG-ITS2-21_lib318516_6313_1","75","N503","RPI6","DFG_ITS2_21","TU-1","w/o","1","03.03.15","3","Y","TU-1_without_cycle3"
"NG-18810-DFG-ITS2-24_lib318519_6313_1","78","N503","RPI9","DFG_ITS2_24","TU-1","w/o","2","03.03.15","3","Y","TU-1_without_cycle3"
"NG-18810-DFG-ITS2-26_lib318521_6313_1","80","N503","RPI11","DFG_ITS2_26","control","w/o","3","03.02.15","1","Y","control_without_cycle1"
"NG-18810-DFG-ITS2-27_lib318522_6313_1","81","N503","RPI12","DFG_ITS2_27","TU-1","w/o","5","03.03.15","3","Y","TU-1_without_cycle3"
"NG-18810-DFG-ITS2-28_lib318523_6313_1","82","N503","RPI13","DFG_ITS2_28","control","w/o","1","17.02.15","2","Y","control_without_cycle2"
"NG-18810-DFG-ITS2-3_lib318498_6313_1","57","N502","RPI20","DFG_ITS2_3","TU-1","w/o","5","03.02.15","1","Y","TU-1_without_cycle1"
"NG-18810-DFG-ITS2-34_lib318529_6313_1","88","N503","RPI19","DFG_ITS2_34","TU-1","w/o","7","03.03.15","3","Y","TU-1_without_cycle3"
"NG-18810-DFG-ITS2-39_lib318534_6313_1","93","N503","RPI24","DFG_ITS2_39","TU-1","w/o","2","03.02.15","1","Y","TU-1_without_cycle1"
"NG-18810-DFG-ITS2-42_lib318537_6313_1","96","N503","RPI27","DFG_ITS2_42","TU-1","w/o","7","03.02.15","1","Y","TU-1_without_cycle1"
"NG-18810-DFG-ITS2-43_lib318538_6313_1","97","N503","RPI28","DFG_ITS2_43","TU-1","w/o","7","17.02.15","2","Y","TU-1_without_cycle2"
"NG-18810-DFG-ITS2-9_lib318504_6313_1","63","N502","RPI26","DFG_ITS2_9","TU-1","w/o","1","17.02.15","2","Y","TU-1_without_cycle2"
