"","X","Extraction_ID","Fwd_Index","Rev_Index","Sequencing_ID_16S","fungicide_treatment","shredder","replicate_num","sample_date","cycle","Conidia","Sample_combo","richness","S","H","simpson","inversimp","J","evenness"
"1","NG-18807_DFG_16S1_14",19,"N501","RPI14","DFG_16S1_14","control","w/o",3,"17/02/15",2,"Y","TU-3_with_cycle3",1305,1305,5.35278244452539,0.981731257591064,54.7383053313444,0.746140722588817,0.0419450615565858
"2","NG-18807_DFG_16S1_15",20,"N501","RPI15","DFG_16S1_15","control","w/o",1,"3/02/15",1,"Y","control_without_cycle2",812,812,4.84690961298753,0.983020171004027,58.8934081866874,0.723473299035695,0.0725288278161175
"3","NG-18807_DFG_16S1_16",21,"N501","RPI16","DFG_16S1_16","TU-1","w/o",5,"17/02/15",2,"Y","control_without_cycle1",562,562,2.98457678461186,0.763945019199625,4.23630120664842,0.471385281939383,0.00753790250293314
"4","NG-18807_DFG_16S1_17",22,"N501","RPI17","DFG_16S1_17","TU-1","w/o",3,"17/02/15",2,"Y","TU-1_without_cycle2",554,554,3.1063927414357,0.837456474588472,6.15219829561467,0.491738445247844,0.0111050510751167
"5","NG-18807_DFG_16S1_22",27,"N501","RPI22","DFG_16S1_22","TU-1","w/o",2,"17/02/15",2,"Y","TU-2_with_cycle2",504,504,1.96829094722839,0.518996012697956,2.0789848450301,0.316314475296651,0.00412496993061528
"6","NG-18807_DFG_16S1_25",30,"N501","RPI25","DFG_16S1_25","control","w/o",5,"17/02/15",2,"Y","TU-1_with_cycle2",423,423,2.87100196032772,0.770739248001151,4.36184558971097,0.474751987363296,0.0103116917014444
"7","NG-18807_DFG_16S1_31",36,"N501","RPI31","DFG_16S1_31","control","w/o",2,"3/03/15",3,"Y","Cond_Leaves_Field",401,401,2.81899655586486,0.747010943895543,3.95274015168113,0.470306088895135,0.00985720736080083
"8","NG-18807_DFG_16S1_35",40,"N502","RPI3","DFG_16S1_35","control","w/o",3,"3/03/15",3,"Y","TU-1_with_cycle3",419,419,3.72473452018084,0.902457137750113,10.251903388258,0.616895354269825,0.0244675498526443
"9","NG-18807_DFG_16S1_37",42,"N502","RPI5","DFG_16S1_37","control","w/o",2,"3/02/15",1,"Y","TU-1_with_cycle1",807,807,4.90899705901142,0.982484957224606,57.0937800622925,0.733416954312665,0.0707481785158519
"10","NG-18807_DFG_16S1_46",51,"N502","RPI14","DFG_16S1_46","control","w/o",7,"3/02/15",1,"Y","TU-3_with_cycle1",800,800,4.78325828203836,0.979672944113846,49.1955158484699,0.715562620075631,0.0614943948105873
"11","NG-18807_DFG_16S1_48",53,"N502","RPI16","DFG_16S1_48","control","w/o",7,"17/02/15",2,"Y","TU-3_with_cycle2",98,98,0.312557824420278,0.106064906553828,1.11864944930727,0.0681701289865866,0.0114147902990537
"12","NG-18807_DFG_16S1_5",9,"N501","RPI5","DFG_16S1_5","control","w/o",7,"3/03/15",3,"Y","control_without_cycle2",332,332,2.77338767341737,0.787465151284713,4.70511074322501,0.47774731996197,0.0141720203109187
"13","NG-18807_DFG_16S1_6",10,"N501","RPI6","DFG_16S1_6","control","w/o",5,"3/03/15",3,"Y","control_without_cycle3",497,497,3.17889276318408,0.832059836875893,5.95450177847574,0.512015248200028,0.0119808888902932
"14","NG-18807_DFG_16S1_7",11,"N501","RPI7","DFG_16S1_7","control","w/o",1,"3/03/15",3,"Y","control_without_cycle3",387,387,2.897597380673,0.824050804201232,5.68345877035832,0.486302593378856,0.0146859399750861
"15","NG-18807_DFG_16S1_9",13,"N501","RPI9","DFG_16S1_9","TU-1","w/o",3,"3/03/15",3,"Y","TU-1_without_cycle3",525,525,3.03191105799756,0.759202644755329,4.15286953207569,0.48406806191868,0.00791022768014418
"16","NG-18808_DFG_16S2_15",69,"N502","RPI32","DFG_16S2_15","TU-1","w/o",1,"3/02/15",1,"Y","TU-3_with_cycle2",1134,1134,5.40262423456709,0.988457154778897,86.6337528438597,0.768126715548798,0.0763966074460844
"17","NG-18808_DFG_16S2_18",72,"N503","RPI3","DFG_16S2_18","TU-1","w/o",3,"3/02/15",1,"Y","TU-1_with_cycle1",955,955,5.23039336067249,0.98394760465096,62.2959987127277,0.762257853928617,0.0652314122646363
"18","NG-18808_DFG_16S2_20",74,"N503","RPI5","DFG_16S2_20","control","w/o",5,"3/02/15",1,"Y","TU-3_with_cycle1",1733,1733,5.5388501977836,0.99000348663695,100.034878530374,0.742711233936852,0.0577235306003315
"19","NG-18808_DFG_16S2_21",75,"N503","RPI6","DFG_16S2_21","TU-1","w/o",1,"3/03/15",3,"Y","control_without_cycle1",622,622,3.37298892999034,0.826858022072549,5.77560688615338,0.524330847383051,0.00928554161760993
"20","NG-18808_DFG_16S2_24",78,"N503","RPI9","DFG_16S2_24","TU-1","w/o",2,"3/03/15",3,"Y","Cond_Leaves_Field",419,419,2.86280280067146,0.789113246243998,4.74188151787386,0.474141106797357,0.0113171396607968
"21","NG-18808_DFG_16S2_26",80,"N503","RPI11","DFG_16S2_26","control","w/o",3,"3/02/15",1,"Y","Cond_Leaves_Field",433,433,3.77513195146683,0.935985161040823,15.6213780470136,0.621857197693334,0.0360770855589229
"22","NG-18808_DFG_16S2_27",81,"N503","RPI12","DFG_16S2_27","TU-1","w/o",5,"3/03/15",3,"Y","control_without_cycle1",510,510,2.76104663915351,0.796232338722749,4.90755006820919,0.442872111034256,0.00962264719256703
"23","NG-18808_DFG_16S2_28",82,"N503","RPI13","DFG_16S2_28","control","w/o",1,"17/02/15",2,"Y","TU-1_without_cycle3",668,668,3.16843273102727,0.778653557422127,4.51780470629513,0.487129820587956,0.0067631806980466
"24","NG-18808_DFG_16S2_3",57,"N502","RPI20","DFG_16S2_3","TU-1","w/o",5,"3/02/15",1,"Y","control_with_cycle3",920,920,5.38962471463379,0.991118037844952,112.587734843211,0.789761079217071,0.122377972655664
"25","NG-18808_DFG_16S2_34",88,"N503","RPI19","DFG_16S2_34","TU-1","w/o",7,"3/03/15",3,"Y","control_with_cycle3",853,853,3.98534653551555,0.927716980847927,13.8345079069836,0.590530231144001,0.016218649363404
"26","NG-18808_DFG_16S2_39",93,"N503","RPI24","DFG_16S2_39","TU-1","w/o",2,"3/02/15",1,"Y","control_with_cycle2",1012,1012,5.23049144834727,0.988927295502831,90.3121726273494,0.755885899102545,0.0892412772997523
"27","NG-18808_DFG_16S2_42",96,"N503","RPI27","DFG_16S2_42","TU-1","w/o",7,"3/02/15",1,"Y","TU-2_with_cycle1",1447,1447,5.49364014964269,0.987647858999691,80.9576250768987,0.754906299195836,0.0559486006060115
"28","NG-18808_DFG_16S2_43",97,"N503","RPI28","DFG_16S2_43","TU-1","w/o",7,"17/02/15",2,"Y","TU-1_without_cycle1",496,496,3.44295186982923,0.822119086306802,5.62173860723901,0.554726456338705,0.0113341504178206
"29","NG-18808_DFG_16S2_9",63,"N502","RPI26","DFG_16S2_9","TU-1","w/o",1,"17/02/15",2,"Y","TU-2_with_cycle2",368,368,1.45432258584151,0.425841185272231,1.74167838993143,0.246158119488459,0.0047328217117702
"30","NG-18808_DFG_16S2",54,"N502","RPI17","DFG_16S2_0","control","w/o",2,"17/02/15",2,"Y","TU-1_without_cycle2",507,507,3.49143995871821,0.82865096683855,5.83604110014307,0.560557725065452,0.0115109291916037
