"","X","Extraction_ID","Fwd_Index","Rev_Index","Sequencing_ID_ITS","fungicide_treatment","shredder","replicate_num","sample_date","cycle","Conidia","Sample_combo","richness","S","H","simpson","inversimp","J","evenness"
"1","NG-18809-DFG-ITS1-13_lib318461_6317_1",19,"N501","RPI14","DFG_ITS1_13","control","w/o",3,"17.02.15",2,"Y","control_without_cycle2",38,38,2.16282949542537,0.803819419153399,5.09734447560804,0.594578217657408,0.134140644094948
"2","NG-18809-DFG-ITS1-14_lib318462_6317_1",20,"N501","RPI15","DFG_ITS1_14","control","w/o",1,"03.02.15",1,"Y","control_without_cycle1",37,37,2.2499746840151,0.792699128899099,4.82390640564777,0.623103249214402,0.130375848801291
"3","NG-18809-DFG-ITS1-15_lib318463_6317_1",21,"N501","RPI16","DFG_ITS1_15","TU-1","w/o",5,"17.02.15",2,"Y","TU-1_without_cycle2",22,22,1.80391303205432,0.753140023746472,4.05087943042249,0.58359374200585,0.184130883201022
"4","NG-18809-DFG-ITS1-16_lib318464_6317_1",22,"N501","RPI17","DFG_ITS1_16","TU-1","w/o",3,"17.02.15",2,"Y","TU-1_without_cycle2",35,35,2.11745131135108,0.760632475046116,4.17767614964752,0.595567937296139,0.119362175704215
"5","NG-18809-DFG-ITS1-21_lib318469_6317_1",27,"N501","RPI22","DFG_ITS1_21","TU-1","w/o",2,"17.02.15",2,"Y","TU-1_without_cycle2",41,41,2.1328307896123,0.730432271724097,3.70964286561965,0.574334024303754,0.090479094283406
"6","NG-18809-DFG-ITS1-24_lib318472_6317_1",30,"N501","RPI25","DFG_ITS1_24","control","w/o",5,"17.02.15",2,"Y","control_without_cycle2",49,49,2.74951163758612,0.90064960389417,10.0653851337923,0.706484736440923,0.205416023138619
"7","NG-18809-DFG-ITS1-30_lib318478_6317_1",36,"N501","RPI31","DFG_ITS1_30","control","w/o",2,"03.03.15",3,"Y","control_without_cycle3",20,20,1.50752467983739,0.719430535975525,3.56417974235702,0.503224100880327,0.178208987117851
"8","NG-18809-DFG-ITS1-34_lib318482_6317_1",40,"N502","RPI3","DFG_ITS1_34","control","w/o",3,"03.03.15",3,"Y","control_without_cycle3",11,11,1.61841995136945,0.783274263086088,4.6141266572194,0.674933542648315,0.419466059747218
"9","NG-18809-DFG-ITS1-36_lib318484_6317_1",42,"N502","RPI5","DFG_ITS1_36","control","w/o",2,"03.02.15",1,"Y","control_without_cycle1",53,53,2.76519123232139,0.888997705308749,9.00882277056942,0.6964705096073,0.169977788123951
"10","NG-18809-DFG-ITS1-4_lib318452_6317_1",9,"N501","RPI5","DFG_ITS1_4","control","w/o",7,"03.03.15",3,"Y","control_without_cycle3",17,17,1.79001866418092,0.766189415262939,4.27696633633837,0.631798049354875,0.251586255078728
