"","X","Extraction_ID","Fwd_Index","Rev_Index","Sequencing_ID_ITS","fungicide_treatment","shredder","replicate_num","sample_date","cycle","Conidia","Sample_combo","richness","S","H","simpson","inversimp","J","evenness"
"1","NG-18809-DFG-ITS1-13_lib318461_6317_1",19,"N501","RPI14","DFG_ITS1_13","control","w/o",3,"17.02.15",2,"Y","control_without_cycle2",9,9,1.4560592334196,0.736734399204364,3.79844536079845,0.662681115275361,0.422049484533162
"2","NG-18809-DFG-ITS1-14_lib318462_6317_1",20,"N501","RPI15","DFG_ITS1_14","control","w/o",1,"03.02.15",1,"Y","control_without_cycle1",16,16,1.52194025009287,0.692557672594449,3.25264256369257,0.548923912834573,0.203290160230785
"3","NG-18809-DFG-ITS1-15_lib318463_6317_1",21,"N501","RPI16","DFG_ITS1_15","TU-1","w/o",5,"17.02.15",2,"Y","TU-1_without_cycle2",6,6,1.43112222924876,0.718184989053483,3.54842702183022,0.798724524037445,0.59140450363837
"4","NG-18809-DFG-ITS1-16_lib318464_6317_1",22,"N501","RPI17","DFG_ITS1_16","TU-1","w/o",3,"17.02.15",2,"Y","TU-1_without_cycle2",6,6,1.25574828510022,0.661846886742507,2.95724025831615,0.70084646218794,0.492873376386026
"5","NG-18809-DFG-ITS1-21_lib318469_6317_1",27,"N501","RPI22","DFG_ITS1_21","TU-1","w/o",2,"17.02.15",2,"Y","TU-1_without_cycle2",6,6,1.10678961266342,0.60485804725436,2.53073608876888,0.617711044183992,0.421789348128147
"6","NG-18809-DFG-ITS1-24_lib318472_6317_1",30,"N501","RPI25","DFG_ITS1_24","control","w/o",5,"17.02.15",2,"Y","control_without_cycle2",9,9,1.41719242787405,0.699604341582083,3.32894291903772,0.64499206976474,0.369882546559747
"7","NG-18809-DFG-ITS1-30_lib318478_6317_1",36,"N501","RPI31","DFG_ITS1_30","control","w/o",2,"03.03.15",3,"Y","control_without_cycle3",7,7,1.35956744776853,0.697182669186863,3.30232089859177,0.698679457748122,0.471760128370252
"8","NG-18809-DFG-ITS1-34_lib318482_6317_1",40,"N502","RPI3","DFG_ITS1_34","control","w/o",3,"03.03.15",3,"Y","control_without_cycle3",7,7,1.44261892102478,0.754181202893542,4.06803715489229,0.741359472185873,0.581148164984613
"9","NG-18809-DFG-ITS1-36_lib318484_6317_1",42,"N502","RPI5","DFG_ITS1_36","control","w/o",2,"03.02.15",1,"Y","control_without_cycle1",14,14,1.20050304440854,0.581669199904397,2.39045272251401,0.454898433215756,0.170746623036715
"10","NG-18809-DFG-ITS1-4_lib318452_6317_1",9,"N501","RPI5","DFG_ITS1_4","control","w/o",7,"03.03.15",3,"Y","control_without_cycle3",7,7,1.50160050771836,0.717690379724883,3.54221014156541,0.771670011818043,0.50603002022363
