,NG-18809-DFG-ITS1-13_lib318461_6317_1,NG-18809-DFG-ITS1-14_lib318462_6317_1,NG-18809-DFG-ITS1-15_lib318463_6317_1,NG-18809-DFG-ITS1-16_lib318464_6317_1,NG-18809-DFG-ITS1-21_lib318469_6317_1,NG-18809-DFG-ITS1-24_lib318472_6317_1,NG-18809-DFG-ITS1-30_lib318478_6317_1,NG-18809-DFG-ITS1-34_lib318482_6317_1,NG-18809-DFG-ITS1-36_lib318484_6317_1,NG-18809-DFG-ITS1-4_lib318452_6317_1,NG-18809-DFG-ITS1-45_lib318493_6317_1,NG-18809-DFG-ITS1-47_lib318495_6317_1,NG-18809-DFG-ITS1-5_lib318453_6317_1,NG-18809-DFG-ITS1-6_lib318454_6317_1,NG-18809-DFG-ITS1-8_lib318456_6317_1,NG-18810-DFG-ITS2-0_lib317646_6313_1,NG-18810-DFG-ITS2-15_lib318510_6313_1,NG-18810-DFG-ITS2-18_lib318513_6313_1,NG-18810-DFG-ITS2-20_lib318515_6313_1,NG-18810-DFG-ITS2-21_lib318516_6313_1,NG-18810-DFG-ITS2-24_lib318519_6313_1,NG-18810-DFG-ITS2-26_lib318521_6313_1,NG-18810-DFG-ITS2-27_lib318522_6313_1,NG-18810-DFG-ITS2-28_lib318523_6313_1,NG-18810-DFG-ITS2-3_lib318498_6313_1,NG-18810-DFG-ITS2-34_lib318529_6313_1,NG-18810-DFG-ITS2-39_lib318534_6313_1,NG-18810-DFG-ITS2-42_lib318537_6313_1,NG-18810-DFG-ITS2-43_lib318538_6313_1,NG-18810-DFG-ITS2-9_lib318504_6313_1,taxonomy,Taxon,RS notes,Taxon Level,Trophic Mode,Guild,Growth Morphology,Trait,Confidence Ranking,Notes,Citation/Source
ASV1,0.366888342,0.143444031,0.12507139,0.109442867,0.478635692,0.166885955,0.170892363,0.248047405,0.133177981,0.062806204,0.026989396,0.128598199,0.164362886,0.105260673,0.071578008,0.076395154,0.156379596,0.150438938,0.18698052,0.170128842,0.042775274,0.109721041,0.002666932,0.370733216,0.271459626,0.129836171,0.236835472,0.366727155,0.402437559,0.285193999,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Tetrachaetum;s__elegans,Tetrachaetum,Aquatic-Hyphomycete,13,Saprotroph,Undefined Saprotroph,NULL,NULL,Probable,NULL,"b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
ASV10,0.000339926,0.118781001,0.000792751,0.000425671,0.003352825,0.011338082,5.15E-05,0.000146184,0.029826285,0.000353679,0.19172744,0.010254542,0,0,6.81E-05,0.000747604,0.001737111,0.02479435,0.002533699,0.000121741,9.81E-05,0.00592696,9.49E-05,0.001883852,0.007101585,0.000266322,0.089749665,0.005429548,0.027753071,0.004660245,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Helicodendron;s__microsporum,Helicodendron,Saprotroph,13,Saprotroph,Undefined Saprotroph,NULL,NULL,Probable,NULL,"b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
ASV1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16E-05,0,0,0,0,8.12E-06,0,0,0,0,0,0,0,0,0,0,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Parasola;s__leiocephala,Parasola,Saprotroph,13,Saprotroph,Undefined Saprotroph,Agaricoid,NULL,Probable,NULL,"b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
ASV101,0,0.002796059,0,1.65E-05,0,0,0,0,0.000473738,0,0.002470561,0,0,0,0,0,0.000699242,0.001389182,0.000613686,0,0,0.001924713,0,0,0.002427266,2.02E-05,0.00025709,0.000165953,0,0,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Chalara;s__piceae-abietis,Chalara,Pathotroph-Saprotroph-Symbiotroph,13,Pathotroph-Saprotroph-Symbiotroph,Endophyte-Plant Pathogen-Wood Saprotroph,Microfungus,Soft Rot,Probable,NULL,"b'Duncan CG, Eslyn WE. 1966. Mycologia 58:642-645 ((https://doi.org/10.2307/3757045)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
ASV1016,0,0,0,0,0,0,0,0,0,0,0,0,0,6.44E-05,0,0,0,0,3.59E-05,0,0,0,9.04E-06,0,0,0,0,0,0,0,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Naganishia;s__unassigned,-,,-,-,-,-,-,-,Unassigned,-
ASV1018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96E-05,0,0,0,0,0,0,0,0,0,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Strophariaceae;g__Hypholoma;s__lateritium,Hypholoma,Saprotroph,13,Saprotroph,Undefined Saprotroph,Agaricoid,White Rot,Probable,NULL,"b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
ASV102,0,3.09E-05,0.000366541,9.09E-05,0.000455595,0.000513537,0.00011811,8.88E-05,0,0,6.79E-05,0,0,0,0,0.000299042,0,0,3.23E-05,3.25E-05,6.28E-05,0,0,0.00016067,0,0,0.000141148,0,0,7.25E-05,k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Microstromatales;f__Microstromatales_fam_Incertae_sedis;g__Pseudomicrostroma;s__glucosiphilum,-,,-,-,-,-,-,-,Unassigned,-
ASV1022,0,0,0,0,0,0,0,0,9.60E-06,4.42E-05,0,0,0,0,0,0,0,0,0,0,0,3.30E-05,0,0,0,0,0,0,0,0,k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Debaryomycetaceae;g__Debaryomyces;s__unassigned,Debaryomyces,Saprotroph,13,Saprotroph,Undefined Saprotroph,Yeast,NULL,Highly Probable,NULL,"b'Kurtzman CP, et al. (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego (ISBN: 9780444521491)'"
ASV103,0.001294611,6.18E-05,0.00184549,0.007856313,2.65E-05,9.06E-05,0.00087825,0.00024538,7.04E-05,5.63E-05,0.00253848,0.001192025,3.27E-05,2.15E-05,0.000684758,9.47E-05,7.92E-05,0.000123644,2.15E-05,0.000231308,0.00049424,0,0,0,0,4.04E-05,0,2.53E-05,2.40E-05,0.001491126,k__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Chytridiales;f__Chytriomycetaceae;g__Chytriomyces;s__hyalinus,Chytriomyces,Chytrid,13,Saprotroph,Undefined Saprotroph,Microfungus,NULL,Probable,NULL,b'Karling JS. 1945. American Journal of Botany 32362-369 ((http://doi.org/10.1002/j.1537-2197.1945.tb05132.x))'
ASV1037,0,0,0,0,0,0,0,0,2.24E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Ionomidotis;s__irregularis,Ionomidotis,Saprotroph,13,Saprotroph,Undefined Saprotroph,Microfungus,NULL,Probable,NULL,"b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
ASV1042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Agaricus;s__unassigned,Agaricaceae,Saprotroph,9,Saprotroph,Undefined Saprotroph,Agaricoid-Gasteroid-Secotioid,NULL,Probable,Primarily saprobes in grassland and woodland situations (Cannon & Kirk 2007),"b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'"
ASV1055,0,0,3.84E-05,0,0,0,0,0,0,3.62E-05,0,0,0,3.00E-05,0,0,8.80E-06,0,0,0,0,0,9.04E-06,0,0,5.65E-05,0,0,0,0,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariaceae;g__Hypoxylon;s__fragiforme,Xylariaceae,Pathotroph-Saprotroph-Symbiotroph,9,Pathotroph-Saprotroph-Symbiotroph,Dung Saprotroph-Endophyte-Plant Pathogen-Undefined Saprotroph,Xylarioid,NULL,Probable,"Saprobes or weak pathogens, many endophytes, mainly in wood and bark, occasionally in soil and dung (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'"
ASV1058,0,0,0,0,0.00036713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Variocladium;s__giganteum,-,,-,-,-,-,-,-,Unassigned,-
ASV106,0,2.75E-05,0,0.000210769,0,0,0,0.000292367,0,5.63E-05,0,0,0,0,0,0,0,3.64E-05,0,0,7.85E-05,0,0,0,0,0,0.000287336,0.000165953,0,0,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Lapidomyces;s__unassigned,-,,-,-,-,-,-,-,Unassigned,-
ASV1075,0,1.72E-05,7.67E-05,0,0,0,0,0,0,2.01E-05,0,0,0,0,0,1.50E-05,0,0,0,0,0,0,0,0,1.69E-05,0,0,0,0,0,k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Erythrobasidiales;f__Erythrobasidiaceae;g__Erythrobasidium;s__yunnanense,-,,-,-,-,-,-,-,Unassigned,-
