fungicide_treatment,cycle,Number.replicate,region,Richness
control,1,1,Germany,NA
control,1,2,Germany,NA
control,1,3,Germany,NA
control,1,4,Germany,NA
control,1,5,Germany,NA
control,1,6,Germany,NA
control,1,7,Germany,NA
TU-1,1,1,Germany,NA
TU-1,1,2,Germany,NA
TU-1,1,3,Germany,NA
TU-1,1,4,Germany,NA
TU-1,1,5,Germany,NA
TU-1,1,6,Germany,NA
TU-1,1,7,Germany,NA
control,2,1,Germany,7
control,2,2,Germany,10
control,2,3,Germany,7
control,2,4,Germany,NA
control,2,5,Germany,10
control,2,6,Germany,NA
control,2,7,Germany,9
TU-1,2,1,Germany,6
TU-1,2,2,Germany,6
TU-1,2,3,Germany,7
TU-1,2,4,Germany,NA
TU-1,2,5,Germany,8
TU-1,2,6,Germany,NA
TU-1,2,7,Germany,7
control,3,1,Germany,13
control,3,2,Germany,8
control,3,3,Germany,6
control,3,4,Germany,NA
control,3,5,Germany,11
control,3,6,Germany,NA
control,3,7,Germany,9
TU-1,3,1,Germany,6
TU-1,3,2,Germany,9
TU-1,3,3,Germany,6
TU-1,3,4,Germany,NA
TU-1,3,5,Germany,9
TU-1,3,6,Germany,NA
TU-1,3,7,Germany,9
